package	file	line	column	error_code	message
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/getAESKey.ts	1	31	TS2307	Cannot find module '@functions/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/getAESKey.ts	2	10	TS1484	'Request' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/getAESKey.ts	2	19	TS1484	'Response' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/parsePayload.ts	1	32	TS2307	Cannot find module '@functions/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/parsePayload.ts	2	10	TS1484	'Request' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/parsePayload.ts	5	23	TS1484	'ConvertMedia' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/parsePayload.ts	5	37	TS1484	'MediaConfig' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/parseQuery.ts	1	10	TS1484	'Request' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/response.ts	2	10	TS1484	'Response' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/response.ts	5	10	TS1484	'BaseResponse' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/splitMediaAndData.ts	1	28	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/splitMediaAndData.ts	4	10	TS1484	'MediaConfig' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/uploadMiddleware.ts	1	10	TS1484	'NextFunction' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/uploadMiddleware.ts	1	24	TS1484	'Request' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/uploadMiddleware.ts	1	33	TS1484	'Response' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/validateAuthToken.ts	1	29	TS2307	Cannot find module '@functions/cache' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/validateAuthToken.ts	2	10	TS1484	'Request' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/routes/utils/validateAuthToken.ts	2	19	TS1484	'Response' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/socketio/createSocketServer.ts	1	10	TS1484	'Express' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/socketio/setupSocket.ts	1	32	TS2307	Cannot find module '@functions/socketio/taskPool' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/socketio/taskPool.ts	4	3	TS1484	'AddToTaskPoolFunc' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/socketio/taskPool.ts	5	3	TS1484	'GlobalTaskPool' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/socketio/taskPool.ts	6	3	TS1484	'UpdateTaskInPoolFunc' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/functions/utils/tempFileManager.ts	4	10	TS1484	'ITempFileManager' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/middlewares/morganMiddleware.ts	1	28	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/middlewares/morganMiddleware.ts	3	10	TS1484	'Request' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/middlewares/morganMiddleware.ts	3	19	TS1484	'Response' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/constants/corsAllowedOrigins.ts	1	28	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	1	30	TS2307	Cannot find module '@functions/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	2	26	TS2307	Cannot find module '@lib/corsAnywhere' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	164	26	TS2307	Cannot find module '@lib/locales' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	165	23	TS2307	Cannot find module '@lib/user' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	166	26	TS2307	Cannot find module '@lib/apiKeys' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	167	23	TS2307	Cannot find module '@lib/auth' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	168	26	TS2307	Cannot find module '@lib/pixabay' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	169	28	TS2307	Cannot find module '@lib/locations' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	170	26	TS2307	Cannot find module '@lib/backups' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	171	27	TS2307	Cannot find module '@lib/database' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	172	26	TS2307	Cannot find module '@lib/modules' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/core.routes.ts	173	21	TS2307	Cannot find module '@lib/ai' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/index.ts	1	26	TS2307	Cannot find module '@constants' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/index.ts	2	45	TS2307	Cannot find module '@functions/modules/loadAndRegisterModuleRoutes' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/index.ts	3	32	TS2307	Cannot find module '@functions/routes/functions/forgeRouter' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/core/routes/index.ts	4	29	TS2307	Cannot find module '@functions/routes/utils/response' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/host-runtime/tests/socket-and-refresh.test.ts	1	50	TS2307	Cannot find module '@tests/e2e-setup' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/index.ts	1	32	TS2307	Cannot find module '@constants' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/index.ts	2	31	TS2307	Cannot find module '@functions/initialization/ensureCredentials' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/index.ts	3	31	TS2307	Cannot find module '@functions/initialization/localeService' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/index.ts	9	8	TS2307	Cannot find module '@functions/logging' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/index.ts	10	32	TS2307	Cannot find module '@functions/socketio/createSocketServer' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/apiKeys/routes/entries.ts	1	36	TS2307	Cannot find module '@functions/auth/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/constants/pb.ts	1	39	TS2307	Cannot find module '@lib/user/schema' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/constants/pb.ts	5	3	TS1484	'IPBService' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/login.ts	54	19	TS2345	Argument of type '"users"' is not assignable to parameter of type 'never'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/me.ts	1	20	TS2307	Cannot find module '@lib/user/schema' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/me.ts	34	19	TS2345	Argument of type '"users"' is not assignable to parameter of type 'never'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	1	29	TS2307	Cannot find module '@functions/cache' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	2	34	TS2307	Cannot find module '@lib/auth/constants/cookie' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	3	23	TS2307	Cannot find module '@lib/auth/constants/pb' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	4	19	TS2307	Cannot find module '@lib/auth/forge' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	5	34	TS2307	Cannot find module '@lib/auth/utils/2fa' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	6	45	TS2307	Cannot find module '@lib/auth/utils/oauth' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	7	35	TS2307	Cannot find module '@lib/auth/utils/refreshTokenStore' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	12	8	TS2307	Cannot find module '@lib/auth/utils/tokens' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	51	31	TS7031	Binding element 'provider' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	51	43	TS7031	Binding element 'req' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	51	48	TS7031	Binding element 'response' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	116	25	TS7031	Binding element 'providerName' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	116	39	TS7031	Binding element 'code' implicitly has an 'any' type.
